Event,Actual,Prior,Freq.,Date,Time,Surv(M),Std Dev,nn-surprise,Surprise,DateTime
Unemployment Rate,0.057,0.06,M,2003-02-07,07:30:00,0.06,0.06,-0.0029999999999999957,-0.003092480225925074,2003-02-07 07:30:00
Change in Nonfarm Payrolls,143.0,-101k,M,2003-02-07,07:30:00,68.0,27.82,75.0,2.828797777361466,2003-02-07 07:30:00
Initial Jobless Claims,377.0,391k,W,2003-02-13,07:30:00,390.0,6,-13.0,-1.240458081416493,2003-02-13 07:30:00
Industrial Production MoM,0.007,-0.002,M,2003-02-14,08:15:00,0.003,0.17,0.004,0.004123757380676574,2003-02-14 08:15:00
U. of Mich. Sentiment,79.2,82.4,M,2003-02-14,08:47:00,81.9,1.12,-2.700000000000003,-1.373693667568058,2003-02-14 08:47:00
PPI Ex Food and Energy MoM,0.009,-0.003,M,2003-02-20,07:30:00,0.001,0.12,0.008,0.008247614820236475,2003-02-20 07:30:00
Initial Jobless Claims,402.0,377k,W,2003-02-20,07:30:00,385.0,5.97,17.0,1.6176019426773887,2003-02-20 07:30:00
CPI Ex Food and Energy YoY,0.019,0.019,M,2003-02-21,07:30:00,0.02,1.74,-0.0010000000000000009,-0.001000342010737383,2003-02-21 07:30:00
Initial Jobless Claims,417.0,402k,W,2003-02-27,07:30:00,390.0,16.83,27.0,2.5413245688087063,2003-02-27 07:30:00
GDP Annualized QoQ,0.014,0.007,Q,2003-02-28,07:30:00,0.01,0.3,0.004,0.004856975330610731,2003-02-28 07:30:00
U. of Mich. Sentiment,79.9,79.2,M,2003-02-28,08:47:00,79.1,0.77,0.8000000000000114,0.4107133232177079,2003-02-28 08:47:00
ISM Manufacturing,50.5,53.9,M,2003-03-03,09:00:00,52.0,0.94,-1.5,-1.023339887403462,2003-03-03 09:00:00
Initial Jobless Claims,430.0,417k,W,2003-03-06,07:30:00,404.0,7.3,26.0,2.4239853206625632,2003-03-06 07:30:00
Unemployment Rate,0.058,0.057,M,2003-03-07,07:30:00,0.058,0.07,0.0,0.0,2003-03-07 07:30:00
Change in Nonfarm Payrolls,-308.0,143k,M,2003-03-07,07:30:00,10.0,38.81,-318.0,-6.354271457334372,2003-03-07 07:30:00
Initial Jobless Claims,420.0,430k,W,2003-03-13,07:30:00,417.0,8.81,3.0,0.28029968085539314,2003-03-13 07:30:00
PPI Ex Food and Energy MoM,-0.005,0.009,M,2003-03-14,07:30:00,0.001,0.2,-0.006,-0.006209093736692947,2003-03-14 07:30:00
Industrial Production MoM,0.001,0.007,M,2003-03-14,08:15:00,0.0,0.26,0.001,0.0010349458608897414,2003-03-14 08:15:00
U. of Mich. Sentiment,75.0,79.9,M,2003-03-14,08:48:00,78.0,1.52,-3.0,-1.5146151346481123,2003-03-14 08:48:00
Initial Jobless Claims,421.0,420k,W,2003-03-20,07:30:00,415.0,8.76,6.0,0.5616224723500556,2003-03-20 07:30:00
GDP Annualized QoQ,0.014,0.014,Q,2003-03-27,07:30:00,0.014,0.05,0.0,0.0,2003-03-27 07:30:00
Initial Jobless Claims,402.0,421k,W,2003-03-27,07:30:00,420.0,6.65,-18.0,-1.6763686534060358,2003-03-27 07:30:00
U. of Mich. Sentiment,77.6,75,M,2003-03-28,08:47:00,75.0,0.84,2.5999999999999943,1.3082588274703495,2003-03-28 08:47:00
ISM Manufacturing,46.2,50.5,M,2003-04-01,09:00:00,49.0,0.82,-2.799999999999997,-1.8308076941591573,2003-04-01 09:00:00
Initial Jobless Claims,445.0,402k,W,2003-04-03,07:30:00,410.0,7.99,35.0,3.198414251864211,2003-04-03 07:30:00
Unemployment Rate,0.058,0.058,M,2003-04-04,07:30:00,0.059,0.05,-0.000999999999999994,-0.0010389951199467249,2003-04-04 07:30:00
Change in Nonfarm Payrolls,-108.0,-308k,M,2003-04-04,07:30:00,-35.0,62.47,-73.0,-1.4511035206640175,2003-04-04 07:30:00
Initial Jobless Claims,405.0,445k,W,2003-04-10,07:30:00,425.0,6.35,-20.0,-1.816272376652496,2003-04-10 07:30:00
PPI Ex Food and Energy MoM,0.007,-0.005,M,2003-04-11,07:30:00,0.0,0.09,0.007,0.007274018047416339,2003-04-11 07:30:00
U. of Mich. Sentiment,83.2,77.6,M,2003-04-11,08:47:00,79.0,2.45,4.200000000000003,2.060678996605933,2003-04-11 08:47:00
Industrial Production MoM,-0.005,0.001,M,2003-04-15,08:15:00,-0.002,0.14,-0.003,-0.0031172581337327874,2003-04-15 08:15:00
Initial Jobless Claims,442.0,405k,W,2003-04-17,07:30:00,410.0,8.79,32.0,2.864220746434042,2003-04-17 07:30:00
